County,LILATracts_1And10,SNAP Gap,Overall Food Insecurity Rate,% FI â‰¤ SNAP Threshold,Cost Per Meal
Anderson,3,2880.6,0.145,0.574,2.84
Andrews,0,665.52,0.098,0.602,2.94
Angelina,4,4225.2,0.173,0.68,2.84
Aransas,2,1861.25,0.182,0.685,3.01
Archer,0,369.12,0.142,0.463,2.96
Armstrong,0,77.48,0.122,0.402,3.08
Atascosa,1,1777.42,0.124,0.703,2.63
Austin,0,1183.0,0.134,0.532,3.04
Bailey,0,187.87,0.109,0.631,3.0
Bandera,1,975.72,0.16,0.518,3.74
Bastrop,3,3597.74,0.121,0.638,3.13
Baylor,0,117.7,0.163,0.515,2.95
Bee,3,1682.0,0.166,0.58,2.74
Bell,19,16992.24,0.151,0.642,2.65
Bexar,70,111606.05,0.139,0.719,2.78
Blanco,0,538.5,0.131,0.505,2.99
Borden,0,17.48,0.132,0.281,2.96
Bosque,1,1144.86,0.165,0.586,2.78
Bowie,2,4376.2,0.162,0.602,2.81
Brazoria,4,9081.68,0.114,0.452,2.85
Brazos,14,19180.0,0.155,0.74,2.78
Brewster,1,303.36,0.156,0.594,3.02
Briscoe,1,129.1,0.158,0.87,2.88
Brooks,1,627.9,0.22,0.87,2.52
Brown,5,1796.01,0.15,0.603,2.77
Burleson,1,672.1,0.137,0.53,2.81
Burnet,0,1982.46,0.138,0.522,2.97
Caldwell,4,2822.22,0.148,0.714,3.06
Calhoun,2,1036.3,0.141,0.726,2.89
Callahan,0,739.0,0.15,0.575,2.89
Cameron,31,38579.74,0.175,0.938,2.37
Camp,1,431.44,0.162,0.643,2.84
Carson,0,183.0,0.122,0.4,3.05
Cass,3,1481.23,0.175,0.649,2.89
Castro,0,388.5,0.118,0.815,3.16
Chambers,0,1508.4,0.128,0.458,2.94
Cherokee,4,2764.4,0.15,0.71,2.82
Childress,1,352.24,0.161,0.572,3.06
Clay,0,225.79,0.155,0.439,2.95
Cochran,1,252.08,0.169,0.792,3.08
Coke,1,159.19,0.155,0.569,2.85
Coleman,2,295.46,0.161,0.519,2.87
Collin,4,27995.5,0.111,0.355,3.25
Collingsworth,0,170.48,0.154,0.788,3.01
Colorado,2,1147.48,0.117,0.651,2.72
Comal,3,5171.06,0.122,0.422,3.15
Comanche,1,400.65,0.141,0.515,2.88
Concho,0,156.78,0.13,0.459,2.78
Cooke,1,1211.32,0.147,0.514,3.07
Coryell,7,3686.14,0.163,0.518,2.75
Cottle,1,145.16,0.231,0.832,2.99
Crane,0,251.6,0.083,0.844,2.93
Crockett,0,95.93,0.124,0.551,2.59
Crosby,0,406.08,0.166,0.864,3.08
Culberson,0,285.48,0.19,0.944,2.95
Dallam,0,347.9,0.129,0.585,2.86
Dallas,91,152172.24,0.14,0.736,2.99
Dawson,2,1076.03,0.185,0.719,3.05
DeWitt,0,915.3,0.148,0.63,2.67
Deaf Smith,1,1143.64,0.127,0.828,3.04
Delta,0,191.75,0.181,0.505,2.78
Denton,8,22276.44,0.113,0.392,3.13
Dickens,0,172.2,0.181,0.683,3.1
Dimmit,2,965.2,0.201,0.942,2.38
Donley,0,162.76,0.156,0.538,3.11
Duval,1,623.87,0.172,0.859,2.74
Eastland,3,1288.72,0.178,0.672,2.87
Ector,2,6056.3,0.115,0.665,2.81
Edwards,0,159.0,0.131,1.0,2.49
El Paso,40,49803.96,0.146,0.871,2.9
Ellis,4,4729.65,0.115,0.453,2.96
Erath,4,2543.6,0.148,0.648,2.89
Falls,1,1116.16,0.191,0.636,2.66
Fannin,2,1224.3,0.148,0.513,2.96
Fayette,0,1086.4,0.133,0.544,3.05
Fisher,0,190.8,0.156,0.588,2.91
Floyd,1,181.84,0.13,0.784,3.08
Foard,1,33.22,0.144,0.729,2.96
Fort Bend,10,16513.87,0.095,0.451,3.03
Franklin,1,316.48,0.141,0.474,2.8
Freestone,3,1094.71,0.174,0.597,2.85
Frio,2,841.0,0.151,0.633,2.75
Gaines,0,1278.44,0.131,0.627,3.2
Galveston,11,10538.77,0.141,0.517,2.95
Garza,0,220.62,0.155,0.473,3.1
Gillespie,0,1113.5,0.132,0.489,2.45
Glasscock,0,137.25,0.113,0.825,2.9
Goliad,0,201.92,0.135,0.546,2.68
Gonzales,1,900.15,0.138,0.759,2.7
Gray,2,1227.72,0.157,0.661,3.14
Grayson,6,5623.44,0.159,0.548,2.78
Gregg,9,7589.47,0.166,0.697,2.82
Grimes,3,1318.94,0.15,0.614,3.23
Guadalupe,3,5406.4,0.11,0.508,3.09
Hale,0,1618.49,0.14,0.713,2.81
Hall,1,271.94,0.192,0.893,3.06
Hamilton,1,389.56,0.171,0.592,2.71
Hansford,0,567.2,0.152,0.805,2.98
Hardeman,1,254.04,0.166,0.644,2.97
Hardin,2,1950.1,0.156,0.446,2.95
Harris,120,249374.13,0.139,0.703,2.95
Harrison,2,3343.59,0.157,0.613,2.83
Hartley,0,145.88,0.118,0.364,3.02
Haskell,1,368.56,0.182,0.739,2.97
Hays,1,9837.8,0.12,0.58,3.06
Hemphill,0,73.44,0.121,0.453,3.17
Henderson,3,4920.8,0.17,0.64,2.97
Hidalgo,61,74053.59,0.18,0.939,2.43
Hill,0,1471.35,0.153,0.583,2.92
Hockley,3,1248.36,0.144,0.723,2.9
Hood,1,1775.86,0.135,0.451,2.9
Hopkins,0,1547.0,0.155,0.6,2.85
Houston,5,1671.0,0.179,0.7,2.65
Howard,2,2072.94,0.155,0.587,2.94
Hudspeth,1,454.53,0.173,0.889,2.96
Hunt,4,4740.97,0.162,0.611,2.73
Hutchinson,0,1267.18,0.162,0.583,3.22
Irion,0,77.34,0.141,0.458,2.77
Jack,1,530.14,0.157,0.526,3.09
Jackson,1,516.98,0.148,0.542,2.61
Jasper,0,2465.88,0.179,0.632,2.83
Jeff Davis,0,103.68,0.1,0.794,3.25
Jefferson,17,11790.85,0.166,0.645,2.78
Jim Hogg,1,444.65,0.185,0.945,2.67
Jim Wells,4,2834.36,0.161,0.776,2.79
Johnson,3,5595.88,0.129,0.532,2.9
Jones,1,555.78,0.152,0.426,2.91
Karnes,2,444.24,0.131,0.531,2.77
Kaufman,4,4128.83,0.129,0.517,2.91
Kendall,0,1219.75,0.114,0.375,3.2
Kenedy,1,28.0,0.14,1.0,2.53
Kent,0,10.44,0.19,0.387,2.96
Kerr,1,2709.42,0.148,0.618,2.75
Kimble,0,361.58,0.187,0.669,2.65
King,0,22.8,0.17,0.72,2.99
Kinney,1,391.68,0.179,0.848,2.27
Kleberg,3,2404.0,0.174,0.8,2.86
Knox,0,224.05,0.15,0.771,2.91
La Salle,1,401.12,0.139,0.704,2.56
Lamar,6,2770.0,0.181,0.647,2.68
Lamb,1,1009.1,0.154,0.855,3.07
Lampasas,1,763.2,0.151,0.508,2.67
Lavaca,1,787.9,0.139,0.51,2.65
Lee,1,618.47,0.127,0.591,3.22
Leon,2,1492.83,0.178,0.669,2.8
Liberty,4,3309.16,0.157,0.601,2.84
Limestone,4,1499.4,0.166,0.73,2.87
Lipscomb,0,161.32,0.138,0.556,3.33
Live Oak,0,723.39,0.156,0.551,2.78
Llano,2,1333.36,0.166,0.564,2.13
Loving,0,3.0,0.178,0.3,2.97
Lubbock,12,18935.4,0.155,0.697,3.11
Lynn,1,456.44,0.169,0.878,3.09
Madison,1,437.76,0.141,0.476,2.81
Marion,1,325.08,0.182,0.694,2.94
Martin,1,327.6,0.106,0.651,2.91
Mason,0,241.2,0.144,0.637,2.59
Matagorda,3,2154.6,0.167,0.704,2.87
Maverick,5,4943.0,0.18,0.956,2.2
McCulloch,1,427.12,0.179,0.623,2.81
McLennan,16,16879.0,0.157,0.72,2.64
McMullen,0,35.7,0.123,0.467,2.75
Medina,0,1554.4,0.121,0.548,2.89
Menard,0,137.83,0.174,0.659,2.78
Midland,5,5244.74,0.106,0.507,2.98
Milam,2,1543.72,0.165,0.684,2.95
Mills,0,342.46,0.165,0.566,2.77
Mitchell,0,308.4,0.129,0.434,2.96
Montague,1,1064.72,0.177,0.588,3.08
Montgomery,5,20771.36,0.123,0.481,3.09
Moore,1,1219.5,0.117,0.723,2.77
Morris,0,612.58,0.18,0.639,2.8
Motley,0,67.67,0.151,0.693,2.89
Nacogdoches,3,4498.39,0.188,0.691,2.95
Navarro,2,2383.92,0.161,0.709,2.61
Newton,4,1055.92,0.199,0.642,2.91
Nolan,0,1002.9,0.159,0.705,2.91
Nueces,16,15978.67,0.147,0.711,2.79
Ochiltree,0,766.86,0.127,0.834,2.93
Oldham,0,66.1,0.123,0.385,3.03
Orange,4,1757.53,0.165,0.491,2.98
Palo Pinto,3,1912.6,0.172,0.655,2.86
Panola,2,1169.79,0.159,0.649,2.81
Parker,3,3596.52,0.125,0.412,3.17
Parmer,1,671.89,0.125,0.809,3.02
Pecos,1,884.27,0.12,0.643,2.93
Polk,1,2326.27,0.184,0.573,2.83
Potter,8,7924.6,0.162,0.774,2.87
Presidio,1,851.0,0.242,1.0,3.18
Rains,0,577.24,0.163,0.522,2.97
Randall,2,3950.48,0.121,0.434,3.35
Reagan,0,208.2,0.096,0.72,2.87
Real,1,421.1,0.207,0.71,2.64
Red River,3,796.73,0.183,0.651,2.75
Reeves,2,669.05,0.107,0.677,2.93
Refugio,1,326.08,0.156,0.628,2.73
Roberts,0,37.76,0.148,0.423,3.19
Robertson,1,540.55,0.137,0.635,2.74
Rockwall,0,1556.44,0.096,0.298,3.08
Runnels,2,632.36,0.152,0.648,2.85
Rusk,5,2034.74,0.137,0.573,2.79
Sabine,1,1057.9,0.206,0.686,2.93
San Augustine,2,553.62,0.21,0.663,2.87
San Jacinto,0,1725.48,0.173,0.671,3.33
San Patricio,3,3812.96,0.152,0.722,2.83
San Saba,0,418.69,0.153,0.659,2.69
Schleicher,0,142.96,0.127,0.542,2.77
Scurry,0,1022.38,0.137,0.607,2.96
Shackelford,0,144.0,0.15,0.52,2.91
Shelby,2,1501.06,0.179,0.702,2.87
Sherman,0,244.12,0.144,0.623,2.91
Smith,6,12024.5,0.148,0.625,2.95
Somervell,0,258.84,0.18,0.476,2.92
Starr,8,6865.0,0.211,1.0,2.62
Stephens,1,545.83,0.168,0.619,3.01
Sterling,0,56.6,0.081,0.776,2.9
Stonewall,0,87.26,0.154,0.562,2.96
Sutton,0,180.08,0.124,0.546,2.56
Swisher,1,598.92,0.178,0.731,3.02
Tarrant,65,81214.24,0.13,0.588,3.0
Taylor,11,6310.92,0.159,0.604,2.9
Terrell,1,77.61,0.099,0.929,2.66
Terry,1,699.48,0.155,0.792,3.09
Throckmorton,0,105.47,0.187,0.561,3.04
Titus,3,2240.0,0.153,0.796,2.56
Tom Green,5,5444.22,0.141,0.581,2.76
Travis,25,48243.58,0.128,0.538,3.34
Trinity,1,1120.5,0.188,0.682,2.83
Tyler,2,683.95,0.184,0.481,2.84
Upshur,2,1941.84,0.166,0.564,2.91
Upton,0,187.96,0.114,0.638,2.91
Uvalde,4,1794.66,0.142,0.913,2.3
Val Verde,4,3428.22,0.148,0.914,2.33
Van Zandt,2,2489.22,0.159,0.549,3.03
Victoria,4,4943.56,0.144,0.669,2.51
Walker,4,5192.18,0.151,0.597,2.81
Waller,1,2700.56,0.134,0.661,3.03
Ward,0,535.69,0.112,0.699,2.88
Washington,0,1904.08,0.14,0.582,2.82
Webb,11,20590.6,0.158,0.952,2.63
Wharton,1,2503.8,0.149,0.774,2.57
Wheeler,0,342.83,0.167,0.647,3.05
Wichita,9,5917.14,0.17,0.571,2.95
Wilbarger,2,957.96,0.19,0.734,2.94
Willacy,3,2816.0,0.188,1.0,2.24
Williamson,14,13964.24,0.11,0.368,3.29
Wilson,0,1377.6,0.109,0.496,2.73
Winkler,0,363.55,0.114,0.695,2.96
Wise,2,2476.84,0.144,0.492,3.07
Wood,3,2237.08,0.169,0.529,3.11
Yoakum,0,506.6,0.09,0.82,3.1
Young,1,774.59,0.143,0.587,3.0
Zapata,2,1073.7,0.194,0.915,2.45
Zavala,3,1310.0,0.215,1.0,2.33
